year,rank,uri,wk_title,wk_artist,sp_title,sp_artist
2018,19,spotify:track:0eS8rVOWGl64WViEzxsvlE,Love Lies,Khalid and Normani,Love Lies (Tribute to Khalid and Normani),['Grant Richards']
2018,20,spotify:track:2qT1uLXPVPzGgFOx4jtEuo,No Tears Left to Cry,Ariana Grande,no tears left to cry,['Ariana Grande']
2018,21,spotify:track:7uzmGiiJyRfuViKKK3lVmR,Mine,Bazzi,Mine,['Bazzi']
2018,22,spotify:track:1zB4vmk8tFRmM9UULNzbLB,Thunder,Imagine Dragons,Thunder,['Imagine Dragons']
2018,23,spotify:track:6HJ34Zyw6bg8yGm28AxLXf,Look Alive,BlocBoy JB  Drake,Look Alive (feat. Drake),"['BlocBoy JB', 'Drake']"
2018,24,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,Delicate,Taylor Swift,Delicate,['Taylor Swift']
2018,25,spotify:track:6vN77lE9LK6HP2DewaN6HZ,Yes Indeed,Lil Baby and Drake,Yes Indeed,"['Lil Baby', 'Drake']"
2018,26,spotify:track:1qbuffZKmqWhjlrt0SULJs,Friends,Marshmello and Anne-Marie,FRIENDS,"['Anne-Marie', 'Marshmello']"
2018,27,spotify:track:3OzCF9i6Ey7EkkAYJztmKp,Bad at Love,Halsey,Bad At Love,['Halsey']
2018,28,spotify:track:2toVe5hfuIi97ytDPDbQFt,Taste,Tyga  Offset,Taste (feat. Offset),"['Tyga', 'Offset']"
2018,29,spotify:track:52okn5MNA47tk87PeZJLEL,Let You Down,NF,Let You Down,['NF']
2018,30,spotify:track:2DQ1ITjI0YoLFzuADN1ZBW,No Limit,G-Eazy  ASAP Rocky and Cardi B,No Limit,"['G-Eazy', 'A$AP Rocky', 'Cardi B']"
2018,31,spotify:track:43VXG87ajppI8mO1Mxo8vu,Fefe,6ix9ine  Nicki Minaj and Murda Beatz,FEFE (feat. Nicki Minaj & Murda Beatz),"['6ix9ine', 'Nicki Minaj', 'Murda Beatz']"
2018,32,spotify:track:42fw0rxRO2xbesF6mJfd4Y,Tequila,Dan + Shay,Tequila,['Dan + Shay']
2018,33,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Portugal. The Man,Feel It Still,['Portugal. The Man']
2018,34,spotify:track:34zBwp36K4bllpwnXAlkoN,MotorSport,"Migos, Nicki Minaj and Cardi B",MotorSport,['2017 Dynamo Hitz']
2018,35,spotify:track:0EcQcdcbQeVJn9fknj44Be,I Like Me Better,Lauv,I Like Me Better,['Lauv']
2018,36,spotify:track:2iUXsYOEPhVqEBwsqP70rE,Youngblood,5 Seconds of Summer,Youngblood,['5 Seconds of Summer']
2018,37,spotify:track:6Qn5zhYkTa37e91HC1D7lb,Whatever It Takes,Imagine Dragons,Whatever It Takes,['Imagine Dragons']
2018,38,spotify:track:7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip,Offset and Metro Boomin,Ric Flair Drip (with Metro Boomin),"['Offset', 'Metro Boomin']"
2018,39,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,I Fall Apart,Post Malone,I Fall Apart,['Post Malone']
2018,40,spotify:track:77UjLW8j5UAGAGVGhR5oUK,Pray for Me,The Weeknd and Kendrick Lamar,Pray For Me (with Kendrick Lamar),"['The Weeknd', 'Kendrick Lamar']"
2018,41,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,Back to You,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,['Selena Gomez']
2018,42,spotify:track:2xLMifQCjDGFmkHkpNLD9h,Sicko Mode,Travis Scott,SICKO MODE,['Travis Scott']
2018,43,spotify:track:6n4U3TlzUGhdSFbUUhTvLP,Walk It Talk It,Migos  Drake,Walk It Talk It,"['Migos', 'Drake']"
2018,44,spotify:track:43ZyHQITOjhciSUUNPVRHc,Gucci Gang,Lil Pump,Gucci Gang,['Lil Pump']
2018,45,spotify:track:5k38wzpLb15YgncyWdTZE4,Him & I,G-Eazy and Halsey,Him & I (with Halsey),"['G-Eazy', 'Halsey']"
2018,46,spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH,In My Blood,Shawn Mendes,In My Blood,['Shawn Mendes']
2018,47,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,All the Stars,Kendrick Lamar and SZA,All The Stars (with SZA),"['Kendrick Lamar', 'SZA']"
2018,48,spotify:track:2UVbBKQOdFAekPTRsnkzcf,Stir Fry,Migos,Stir Fry,['Migos']
2018,49,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,Too Good at Goodbyes,Sam Smith,Too Good At Goodbyes,['Sam Smith']
2018,50,spotify:track:6PGoSes0D9eUDeeAafB2As,Love,Kendrick Lamar  Zacari,LOVE. FEAT. ZACARI.,"['Kendrick Lamar', 'Zacari']"
2018,51,spotify:track:0b9oOr2ZgvyQu88wzixux9,This Is America,Childish Gambino,This Is America,['Childish Gambino']
2018,52,spotify:track:0TlLq3lA83rQOYtrqBqSct,Nonstop,Drake,Nonstop,['Drake']
2018,53,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,Heaven,Kane Brown,Heaven,['Kane Brown']
2018,54,spotify:track:6KBYefIoo7KydImq1uUQlL,Bodak Yellow,Cardi B,Bodak Yellow,['Cardi B']
2018,55,spotify:track:6dbSBQXCctYSVryynHXaZ4,Freaky Friday,Lil Dicky  Chris Brown,Freaky Friday (feat. Chris Brown),"['Lil Dicky', 'Chris Brown']"
2018,56,spotify:track:2HBtd9MYDd2xDVu8Zc6pwt,Gummo,6ix9ine,GUMMO,['6ix9ine']
2018,57,spotify:track:1ZAyjvIk9YiD76yYy0TEG6,Plug Walk,Rich the Kid,Plug Walk,['Rich The Kid']
2018,58,spotify:track:6AvfZXpbb6r35DfF7gHPRq,Wait,Maroon 5,Wait,['Maroon 5']
2018,59,spotify:track:2Yl4OmDby9iitgNWZPwxkd,Be Careful,Cardi B,Be Careful,['Cardi B']
2018,60,spotify:track:0tBbt8CrmxbjRP0pueQkyU,Wolves,Selena Gomez and Marshmello,Wolves,"['Selena Gomez', 'Marshmello']"
2018,61,spotify:track:0dIoGTQXDh1wVnhIiSyYEa,Bartier Cardi,Cardi B  21 Savage,Bartier Cardi (feat. 21 Savage),"['Cardi B', '21 Savage']"
2018,62,spotify:track:5OCJzvD7sykQEKHH7qAC3C,God Is a Woman,Ariana Grande,God is a woman,['Ariana Grande']
2018,63,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy,Big Bank,"YG  2 Chainz, Nicki Minaj and Big Sean","BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","['YG', '2 Chainz', 'Big Sean', 'Nicki Minaj']"
2018,64,spotify:track:0yvPEnB032fojLfVluFjUv,Sorry Not Sorry,Demi Lovato,Sorry Not Sorry,['Demi Lovato']
2018,65,spotify:track:6wmAHw1szh5RCKSRjiXhPe,How Long,Charlie Puth,How Long,['Charlie Puth']
2018,66,spotify:track:60vvp6UXG2KmLmrNvcVHa8,Lights Down Low,Max  Gnash,Lights Down Low,"['MAX', 'gnash']"
2018,67,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,Khalid,Young Dumb & Broke,['Khalid']
2018,68,spotify:track:76dIZzTdrNO15mGBrU3MHi,One Kiss,Calvin Harris and Dua Lipa,One Kiss (with Dua Lipa),"['Calvin Harris', 'Dua Lipa']"
2018,69,spotify:track:2FY7b99s15jUprqC0M5NCT,Natural,Imagine Dragons,Natural,['Imagine Dragons']
2018,70,spotify:track:2TXtN9MoV308Y0z1HvyTfV,You Make It Easy,Jason Aldean,You Make It Easy,['Jason Aldean']
2018,71,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,Shape of You,['Ed Sheeran']
2018,72,spotify:track:1XRgIKC5TPwo7nWGyKqgG0,I Get the Bag,Gucci Mane  Migos,I Get the Bag (feat. Migos),"['Gucci Mane', 'Migos']"
2018,73,spotify:track:5WvAo7DNuPRmk4APhdPzi8,No Brainer,"DJ Khaled  Justin Bieber, Chance the Rapper and Quavo",No Brainer,"['DJ Khaled', 'Justin Bieber', 'Quavo', 'Chance the Rapper']"
2018,74,spotify:track:2YzmfPLqUx5CJOaw5ThsBV,Plain Jane,ASAP Ferg  Nicki Minaj,Plain Jane REMIX (feat. Nicki Minaj),"['A$AP Ferg', 'Nicki Minaj']"
2018,75,spotify:track:5WoaF1B5XIEnWfmb5NZikf,Sky Walker,Miguel  Travis Scott,Sky Walker (feat. Travis Scott),"['Miguel', 'Travis Scott']"
2018,76,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,Marry Me,Thomas Rhett,Marry Me,['Thomas Rhett']
2018,77,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao?si=5eab75645ffe4984,Eastside,"Benny Blanco, Halsey and Khalid",Eastside,"['benny blanco', 'Halsey', ' Khalid']"
2018,78,spotify:track:09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,Call Out My Name,['The Weeknd']
2018,79,spotify:track:1eLSF6HfrRA0AsNmTkUlKx,King's Dead,"Jay Rock, Kendrick Lamar, Future and James Blake","King's Dead (with Kendrick Lamar, Future & James Blake)","['Jay Rock', 'Kendrick Lamar', 'Future', 'James Blake']"
