year,rank,uri,wk_title,wk_artist,sp_title,sp_artist
2021,76,spotify:track:0YrKSfpvflYnLSBd4Jtu6J,Time Today,Moneybagg Yo,Time Today,['Moneybagg Yo']
2021,77,spotify:track:4aarlAfLKVCTxUDNgbwhjH,Cry Baby,Megan Thee Stallion  DaBaby,Cry Baby (feat. DaBaby),"['Megan Thee Stallion', 'DaBaby']"
2021,78,spotify:track:0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,All I Want for Christmas Is You,['Mariah Carey']
2021,79,spotify:track:5A4WcRuy0FFEAC5pAK43oa,No More Parties,Coi Leray  Lil Durk,No More Parties - Remix,"['Coi Leray', 'Lil Durk']"
2021,80,spotify:track:4oR2cCQGs0Yt0Mgr2diV6V,What's Your Country Song,Thomas Rhett,What’s Your Country Song,['Thomas Rhett']
2021,81,spotify:track:5NUXE8W12lWcUXgJRCjeEw,One Too Many,Keith Urban and Pink,One Too Many,"['Keith Urban', 'P!nk']"
2021,82,spotify:track:1Xi84slp6FryDSCbzq4UCD,Arcade,Duncan Laurence,Arcade,['Duncan Laurence']
2021,83,spotify:track:2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,Yonaguni,['Bad Bunny']
2021,84,spotify:track:2S8UMuLJ0z8agFgFGJ6Ztt,Good Time,Niko Moon,GOOD TIME,['Niko Moon']
2021,85,spotify:track:7IYoh1u7dFM1xIWSEYd5B8,If I Didn't Love You,Jason Aldean and Carrie Underwood,If I Didn’t Love You,"['Jason Aldean', 'Carrie Underwood']"
2021,86,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk,Drake  21 Savage and Project Pat,Knife Talk (with 21 Savage ft. Project Pat),"['Drake', '21 Savage', 'Project Pat']"
2021,87,spotify:track:3UoULw70kMsiVXxW0L3A33,POV,Ariana Grande,pov,['Ariana Grande']
2021,88,spotify:track:4h5OVQQbeqw3lNaFIbmlzG,Just the Way,Parmalee and Blanco Brown,Just the Way,"['Parmalee', 'Blanco Brown']"
2021,89,spotify:track:2vgUijXOTRMnWXDtvgMp2b,Take My Breath,The Weeknd,Take My Breath,['The Weeknd']
2021,90,spotify:track:1diS6nkxMQc3wwC4G1j0bh,We're Good,Dua Lipa,We're Good,['Dua Lipa']
2021,91,spotify:track:1kBx9VGumfuvlfqdlAGorE,Hell of a View,Eric Church,Hell Of A View,['Eric Church']
2021,92,spotify:track:2EjXfH91m7f8HiJN1yQg97,Rockin' Around the Christmas Tree,Brenda Lee,Rockin' Around The Christmas Tree,['Brenda Lee']
2021,93,spotify:track:6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,Ritt Momney,Put Your Records On,['Ritt Momney']
2021,94,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,Happier Than Ever,['Billie Eilish']
2021,95,spotify:track:1irAliF0T8sLIOPJp6n7rU,Single Saturday Night,Cole Swindell,Single Saturday Night,['Cole Swindell']
2021,96,spotify:track:3S0sk6DSTgesXsUSAEHNr5,Things a Man Oughta Know,Lainey Wilson,Things A Man Oughta Know,['Lainey Wilson']
2021,97,spotify:track:31iqpzg1ZXLLgq0L5iIwLe,Throat Baby (Go Baby),BRS Kash,Throat Baby (Go Baby),['BRS Kash']
2021,98,spotify:track:3zc8VZEpM1onYV4FWGdFvm,Tombstone,Rod Wave,Tombstone,['Rod Wave']
2021,99,spotify:track:0rOVgtieEk5SoypbulRiKI,Drinkin' Beer. Talkin' God. Amen.,Chase Rice  Florida Georgia Line,Drinkin’ Beer. Talkin’ God. Amen. (feat. Florida Georgia Line),"['Chase Rice', 'Florida Georgia Line']"
2021,100,spotify:track:3rdAz1fbUfZxYgaCviYhRo,Todo de Ti,Rauw Alejandro,Todo De Ti,['Rauw Alejandro']
2022,1,spotify:track:3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,Heat Waves,['Glass Animals']
