year,rank,id,uri,track_href,analysis_url,wk_title,wk_artist,sp_title,sp_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
1980,52,41v23mPw4Se92JKUGvnkmW,spotify:track:41v23mPw4Se92JKUGvnkmW,https://api.spotify.com/v1/tracks/41v23mPw4Se92JKUGvnkmW,https://api.spotify.com/v1/audio-analysis/41v23mPw4Se92JKUGvnkmW,On the Radio,Donna Summer,On The Radio,['Donna Summer'],0.734,0.45,4.0,-13.92,0.0,0.0345,0.113,1.15e-05,0.296,0.598,127.46,audio_features,241507.0,4.0
1980,53,5IATbFZds3cbOx8YxuMuko,spotify:track:5IATbFZds3cbOx8YxuMuko,https://api.spotify.com/v1/tracks/5IATbFZds3cbOx8YxuMuko,https://api.spotify.com/v1/audio-analysis/5IATbFZds3cbOx8YxuMuko,Emotional Rescue,The Rolling Stones,Emotional Rescue - Remastered 2009,['The Rolling Stones'],0.678,0.621,5.0,-5.478,1.0,0.0623,0.111,0.0973,0.0394,0.776,113.389,audio_features,339400.0,4.0
1980,54,1TsmHRIXvMTLP7Vu53XsUV,spotify:track:1TsmHRIXvMTLP7Vu53XsUV,https://api.spotify.com/v1/tracks/1TsmHRIXvMTLP7Vu53XsUV,https://api.spotify.com/v1/audio-analysis/1TsmHRIXvMTLP7Vu53XsUV,Rise,Herb Alpert,Rise,['Herb Alpert'],0.814,0.453,10.0,-10.802,1.0,0.0412,0.134,0.834,0.0879,0.903,99.265,audio_features,457400.0,4.0
1980,55,7dQC53NiYOY9gKg3Qsu2Bs,spotify:track:7dQC53NiYOY9gKg3Qsu2Bs,https://api.spotify.com/v1/tracks/7dQC53NiYOY9gKg3Qsu2Bs,https://api.spotify.com/v1/audio-analysis/7dQC53NiYOY9gKg3Qsu2Bs,All Out of Love,Air Supply,All Out of Love,['Air Supply'],0.513,0.262,0.0,-16.875,1.0,0.0276,0.313,5.51e-06,0.456,0.357,108.383,audio_features,243000.0,4.0
1980,56,5NCdBqlGr5QtYT1nNrCQID,spotify:track:5NCdBqlGr5QtYT1nNrCQID,https://api.spotify.com/v1/tracks/5NCdBqlGr5QtYT1nNrCQID,https://api.spotify.com/v1/audio-analysis/5NCdBqlGr5QtYT1nNrCQID,Cool Change,Little River Band,Cool Change,['Little River Band'],0.369,0.411,9.0,-9.301,1.0,0.0285,0.484,0.0,0.0702,0.192,127.73,audio_features,305851.0,4.0
1980,57,0qzEkwri1hE0rgxVqdOBAf,spotify:track:0qzEkwri1hE0rgxVqdOBAf,https://api.spotify.com/v1/tracks/0qzEkwri1hE0rgxVqdOBAf,https://api.spotify.com/v1/audio-analysis/0qzEkwri1hE0rgxVqdOBAf,You're Only Lonely,JD Souther,You're Only Lonely,['JD Souther'],0.591,0.514,9.0,-10.183,1.0,0.0256,0.263,7.8e-06,0.0797,0.658,108.975,audio_features,228000.0,4.0
1980,58,4DhSKuTuOcQ0t7EnC7QTWu,spotify:track:4DhSKuTuOcQ0t7EnC7QTWu,https://api.spotify.com/v1/tracks/4DhSKuTuOcQ0t7EnC7QTWu,https://api.spotify.com/v1/audio-analysis/4DhSKuTuOcQ0t7EnC7QTWu,Desire,Andy Gibb,Desire,"['Barry Gibb', 'Maurice Gibb', 'Robin Gibb', 'Andy Gibb']",0.83,0.596,7.0,-6.996,1.0,0.0415,0.0902,0.000245,0.345,0.915,123.28,audio_features,268707.0,4.0
1980,59,0otlwsD3mSogk7VJCTp6Kg,spotify:track:0otlwsD3mSogk7VJCTp6Kg,https://api.spotify.com/v1/tracks/0otlwsD3mSogk7VJCTp6Kg,https://api.spotify.com/v1/audio-analysis/0otlwsD3mSogk7VJCTp6Kg,Let My Love Open the Door,Pete Townshend,Let My Love Open The Door,['Pete Townshend'],0.651,0.653,0.0,-9.731,1.0,0.0545,0.365,0.000117,0.0742,0.729,164.912,audio_features,164653.0,4.0
1980,60,4kPLmTsTwA6wvtcbb0LtbM,spotify:track:4kPLmTsTwA6wvtcbb0LtbM,https://api.spotify.com/v1/tracks/4kPLmTsTwA6wvtcbb0LtbM,https://api.spotify.com/v1/audio-analysis/4kPLmTsTwA6wvtcbb0LtbM,Romeo's Tune,Steve Forbert,Romeo's Tune,['Steve Forbert'],0.571,0.721,9.0,-5.645,1.0,0.0307,0.404,0.00961,0.299,0.733,95.027,audio_features,212472.0,4.0
1980,61,5cDJJ2Xh6dLJncvhqkP4XC,spotify:track:5cDJJ2Xh6dLJncvhqkP4XC,https://api.spotify.com/v1/tracks/5cDJJ2Xh6dLJncvhqkP4XC,https://api.spotify.com/v1/audio-analysis/5cDJJ2Xh6dLJncvhqkP4XC,Daydream Believer,Anne Murray,Daydream Believer,['Anne Murray'],0.584,0.472,10.0,-10.531,1.0,0.0268,0.0248,3.92e-06,0.114,0.579,127.094,audio_features,147133.0,4.0
1980,62,2faXZWArAmr7tpXTcLwyAM,spotify:track:2faXZWArAmr7tpXTcLwyAM,https://api.spotify.com/v1/tracks/2faXZWArAmr7tpXTcLwyAM,https://api.spotify.com/v1/audio-analysis/2faXZWArAmr7tpXTcLwyAM,I Can't Tell You Why,Eagles,I Can't Tell You Why - 2013 Remaster,['Eagles'],0.707,0.346,11.0,-12.397,0.0,0.0251,0.69,0.145,0.1,0.49,85.094,audio_features,295050.0,4.0
